215.114, 198.650, 5.019,  8.735 False
215.282, 198.650, 5.020,  8.768 False
215.449, 198.650, 5.019,  8.801 False
215.616, 198.650, 5.000,  8.834 False
215.782, 198.650, 4.984,  8.867 False
215.948, 198.650, 4.992,  8.900 False
216.115, 198.651, 4.998,  8.933 False
216.281, 198.651, 5.004,  8.966 False
216.448, 198.651, 5.009,  8.999 False
216.616, 198.651, 5.013,  9.032 False
216.783, 198.651, 5.016,  9.065 False
216.950, 198.651, 5.019,  9.098 False
217.117, 198.652, 5.020,  9.131 False
217.285, 198.652, 5.019,  9.164 False
217.451, 198.652, 5.001,  9.197 False
217.617, 198.652, 4.985,  9.230 False
217.784, 198.652, 4.992,  9.263 False
217.950, 198.652, 4.999,  9.296 False
218.117, 198.652, 5.004,  9.329 False
218.284, 198.653, 5.009,  9.362 False
218.451, 198.653, 5.013,  9.395 False
218.618, 198.653, 5.016,  9.428 False
218.786, 198.653, 5.019,  9.461 False
218.953, 198.653, 5.020,  9.494 False
219.120, 198.653, 5.019,  9.527 False
219.287, 198.654, 5.001,  9.560 False
219.453, 198.654, 4.985,  9.593 False
219.619, 198.654, 4.992,  9.626 False
219.786, 198.654, 4.998,  9.659 False
219.953, 198.654, 5.004,  9.692 False
220.120, 198.654, 5.009,  9.725 False
220.287, 198.654, 5.013,  9.758 False
220.454, 198.655, 5.016,  9.791 False
220.621, 198.655, 5.018,  9.824 False
220.789, 198.655, 5.020,  9.857 False
220.956, 198.655, 5.019,  9.890 False
221.123, 198.655, 5.001,  9.923 False
221.289, 198.655, 4.985,  9.956 False
221.455, 198.655, 4.992,  9.989 False
221.622, 198.655, 4.998, 10.022 False
221.788, 198.656, 5.004, 10.055 False
221.955, 198.656, 5.009, 10.088 False
222.122, 198.656, 5.013, 10.121 False
222.290, 198.656, 5.016, 10.154 False
222.457, 198.656, 5.018, 10.187 False
222.624, 198.656, 5.020, 10.220 False
222.792, 198.656, 5.018, 10.253 False
222.958, 198.656, 5.003, 10.286 False
223.124, 198.656, 4.985, 10.319 False
223.291, 198.657, 4.992, 10.352 False
223.457, 198.657, 4.998, 10.385 False
223.624, 198.657, 5.004, 10.418 False
223.791, 198.657, 5.008, 10.451 False
223.958, 198.657, 5.012, 10.484 False
224.125, 198.657, 5.015, 10.517 False
224.292, 198.657, 5.017, 10.550 False
224.460, 198.657, 5.019, 10.583 False
224.627, 198.657, 5.018, 10.616 False
224.794, 198.657, 4.999, 10.649 False
224.960, 198.657, 4.997, 10.682 False
225.127, 198.658, 5.002, 10.715 False
225.294, 198.658, 5.006, 10.748 False
225.461, 198.658, 5.009, 10.781 False
225.628, 198.658, 5.012, 10.814 False
225.795, 198.658, 5.014, 10.847 False
225.962, 198.658, 5.015, 10.880 False
226.129, 198.658, 5.014, 10.913 False
226.296, 198.658, 5.006, 10.946 False
226.463, 198.658, 4.995, 10.979 False
226.629, 198.658, 4.999, 11.012 False
226.796, 198.658, 5.004, 11.045 False
226.963, 198.658, 5.007, 11.078 False
227.130, 198.658, 5.010, 11.111 False
227.297, 198.658, 5.012, 11.144 False
227.464, 198.659, 5.014, 11.177 False
227.631, 198.659, 5.016, 11.210 False
227.798, 198.659, 5.015, 11.243 False
227.965, 198.659, 4.999, 11.276 False
228.132, 198.659, 4.997, 11.309 False
228.298, 198.659, 5.001, 11.342 False
228.465, 198.659, 5.004, 11.375 False
228.632, 198.659, 5.008, 11.408 False
228.799, 198.659, 5.010, 11.441 False
228.966, 198.659, 5.012, 11.474 False
229.133, 198.659, 5.013, 11.507 False
229.300, 198.659, 5.012, 11.540 False
229.467, 198.659, 5.003, 11.573 False
229.634, 198.659, 4.993, 11.606 False
229.800, 198.659, 4.998, 11.639 False
229.967, 198.659, 5.002, 11.672 False
230.134, 198.659, 5.006, 11.705 False
230.301, 198.659, 5.009, 11.738 False
230.468, 198.659, 5.012, 11.771 False
230.635, 198.659, 5.014, 11.804 False
230.802, 198.659, 5.015, 11.837 False
230.969, 198.659, 5.014, 11.870 False
231.136, 198.659, 4.999, 11.903 False
231.302, 198.660, 4.996, 11.936 False
231.469, 198.660, 5.000, 11.969 False
231.636, 198.660, 5.004, 12.002 False
231.803, 198.660, 5.007, 12.035 False
231.970, 198.660, 5.010, 12.068 False
232.137, 198.660, 5.012, 12.101 False
232.304, 198.660, 5.013, 12.134 False
232.471, 198.660, 5.012, 12.167 False
232.638, 198.660, 5.004, 12.200 False
232.804, 198.660, 4.993, 12.233 False
232.971, 198.660, 4.998, 12.266 False
233.137, 198.660, 5.002, 12.299 False
233.304, 198.660, 5.006, 12.332 False
233.471, 198.660, 5.009, 12.365 False
233.638, 198.660, 5.011, 12.398 False
233.805, 198.660, 5.013, 12.431 False
233.973, 198.660, 5.014, 12.464 False
234.140, 198.660, 5.013, 12.497 False
234.307, 198.660, 5.004, 12.530 False
234.473, 198.660, 4.992, 12.563 False
234.640, 198.660, 4.997, 12.596 False
234.806, 198.660, 5.001, 12.629 False
234.973, 198.660, 5.005, 12.662 False
235.140, 198.660, 5.008, 12.695 False
235.307, 198.660, 5.011, 12.728 False
235.474, 198.660, 5.013, 12.761 False
235.641, 198.660, 5.014, 12.794 False
235.809, 198.660, 5.013, 12.827 False
235.975, 198.660, 5.003, 12.860 False
236.142, 198.660, 4.992, 12.893 False
236.308, 198.660, 4.997, 12.926 False
236.475, 198.660, 5.002, 12.959 False
236.642, 198.660, 5.006, 12.992 False
236.809, 198.660, 5.009, 13.025 False
236.976, 198.660, 5.011, 13.058 False
237.143, 198.660, 5.013, 13.091 False
237.310, 198.660, 5.014, 13.124 False
237.477, 198.660, 5.013, 13.157 False
237.644, 198.660, 5.003, 13.190 False
237.811, 198.660, 4.992, 13.223 False
237.977, 198.660, 4.997, 13.256 False
238.144, 198.660, 5.001, 13.289 False
238.311, 198.660, 5.005, 13.322 False
238.478, 198.660, 5.008, 13.355 False
238.645, 198.660, 5.011, 13.388 False
238.812, 198.660, 5.013, 13.421 False
238.979, 198.660, 5.013, 13.454 False
239.146, 198.660, 5.012, 13.487 False
239.313, 198.660, 5.003, 13.520 False
239.479, 198.660, 4.991, 13.553 False
239.646, 198.660, 4.996, 13.586 False
239.812, 198.660, 5.001, 13.619 False
239.979, 198.660, 5.005, 13.652 False
240.146, 198.660, 5.008, 13.685 False
240.313, 198.660, 5.010, 13.718 False
240.480, 198.660, 5.012, 13.751 False
240.647, 198.660, 5.013, 13.784 False
240.815, 198.660, 5.012, 13.817 False
240.981, 198.660, 5.003, 13.850 False
241.148, 198.660, 4.991, 13.883 False
241.314, 198.660, 4.996, 13.916 False
241.481, 198.660, 5.001, 13.949 False
241.648, 198.660, 5.005, 13.982 False
241.815, 198.660, 5.008, 14.015 False
241.982, 198.660, 5.010, 14.048 False
242.149, 198.660, 5.012, 14.081 False
242.316, 198.660, 5.013, 14.114 False
242.483, 198.660, 5.012, 14.147 False
242.650, 198.660, 5.003, 14.180 False
242.816, 198.660, 4.991, 14.213 False
242.983, 198.660, 4.996, 14.246 False
243.149, 198.660, 5.000, 14.279 False
243.316, 198.660, 5.004, 14.312 False
243.483, 198.660, 5.008, 14.345 False
243.650, 198.660, 5.010, 14.378 False
243.817, 198.660, 5.012, 14.411 False
243.984, 198.660, 5.013, 14.444 False
244.151, 198.660, 5.012, 14.477 False
244.318, 198.660, 5.003, 14.510 False
244.485, 198.660, 4.990, 14.543 False
244.651, 198.660, 4.996, 14.576 False
244.818, 198.660, 5.000, 14.609 False
244.985, 198.660, 5.004, 14.642 False
245.152, 198.660, 5.008, 14.675 False
245.319, 198.660, 5.010, 14.708 False
245.486, 198.660, 5.012, 14.741 False
245.653, 198.660, 5.013, 14.774 False
245.820, 198.660, 5.012, 14.807 False
245.987, 198.660, 5.003, 14.840 False
246.153, 198.660, 4.991, 14.873 False
246.320, 198.660, 4.996, 14.906 False
